"Artist","sum"
"The Beatles",117.785561497326
"Shaggy",98.1707116412999
"Backstreet Boys",76.7594627594628
"Various Artists",71
"Limp Bizkit",61.3961988304094
"Linkin Park",61.0219696969697
"Staind",54.1410256410256
"Enya",52.7152553329024
"'N Sync",47.6507936507937
"Nelly",47.3859649122807
"Creed",46.0308080808081
"Destiny's Child",44.9400438083885
"Alicia Keys",43.95
"Sade",38.1262626262626
"Various Artists",37.4377990430622
"OutKast",36.4761904761905
"Dido",36.3587662337662
"Lenny Kravitz",36.1862745098039
"R. Kelly",35.6607538802661
"Dave Matthews Band",35.3848443223443
"Tim McGraw",34.9142857142857
"Jennifer Lopez",33.7892156862745
"Various Artists",31.6923076923077
"U2",31.5324425574426
"Ja Rule",30.8666666666667
"Ludacris",30.3595238095238
"'N Sync",29.8789682539683
"Lifehouse",29.424358974359
"Faith Hill",29.0333333333333
"Aaron Carter",29
"Lil Bow Wow",28.0833333333333
"Snoop Dogg",27.277183600713
"Baha Men",26.7023923444976
"D 12",26.1388888888889
"2Pac",25.9206349206349
"Train",25.6623376623377
"Dixie Chicks",25.4896214896215
"3 Doors Down",25.4184782608696
"Jill Scott",25.0757575757576
"112",23.3454545454545
"Matchbox Twenty",23.3309523809524
"Tool",23.2058823529412
"Ricky Martin",23.1860119047619
"Madonna",22.3737373737374
"Aaliyah",22.3111111111111
"Jay-Z",21.875
"Uncle Kracker",21.683223209539
"Nelly Furtado",21.5175438596491
"Godsmack",21.5
"Musiq Soulchild",21.3529411764706
"Dream",21.125
"Jay-Z",21.0317307692308
"Eve",20.9848484848485
"Usher",20.6547619047619
"Missy \"Misdemeanor\" Elliott",20.5737745098039
"Blink-182",20.3529411764706
"Crazy Town",20.1396103896104
"Fuel",19.9166666666667
"Lee Ann Womack",19.6666666666667
"O-Town",18.9958333333333
"David Gray",18.875
"Kenny Chesney",18.8174603174603
"Disturbed",18.5384615384615
"K-Ci/JoJo",18.2666666666667
"Eminem",18.229797979798
"Trick Daddy",18.031746031746
"Tim McGraw",17.9166666666667
"Sum 41",17.8461538461538
"3LW",17.3026315789474
"Xzibit",17.037037037037
"St. Lunatics",16.7435897435897
"Alien Ant Farm",16.3620680044593
"Nickelback",16.2232558139535
"Jagged Edge",16.1938461538462
"Ja Rule",15.8333333333333
"Weezer",15.8076923076923
"Mystikal",15.5
"Mary J. Blige",15.4326923076923
"Erykah Badu",15.1975757575758
"Destiny's Child",15.1363636363636
"Maxwell",15
"Aerosmith",14.6387107474569
"Incubus",14.6055555555556
"Ginuwine",14.5409090909091
"Charlotte Church",14.5212765957447
"Gorillaz",14.4706349206349
"The Offspring",14.4101654846336
"Wu-Tang Clan",14.31279178338
"Christina Aguilera",14.1818181818182
"India.Arie",14.1666666666667
"Pink",14.1538461538462
"Jaheim",14.117816091954
"System Of A Down",14.0606060606061
"Drowning Pool",14
"P. Diddy/The Bad Boy Family",13.6527964959569
"Coldplay",13.625
"Sara Evans",13.6111111111111
"Luther Vandross",13.5238095238095
"DMX",13.518643685082
"Project Pat",13.3333333333333
"Moby",13.3181818181818
"Bon Jovi",13.1515151515152
"Various Artists",13.0681818181818
"Various Artists",12.9848484848485
"Papa Roach",12.5833333333333
"P.O.D.",12.25
"Britney Spears",12.1666666666667
"The Corrs",12.1563182148921
"Various Artists",12.1272401433692
"Rage Against The Machine",12.125
"Billy Gilman",11.4222222222222
"Alan Jackson",11.1428571428571
"Memphis Bleek",11.1
"Tank",11
"Paul McCartney",10.7
"Various Artists",10.7
"Juvenile",10.6667311411992
"Christina Aguilera",10.5512987012987
"Toby Keith",10.4444444444444
"Lil' Wayne",10.3111111111111
"Donnie McClurkin",10.3111111111111
"Various Artists",10.2111111111111
"City High",10.2111111111111
"Redman",10.1521028538731
"Toby Keith",10.1468253968254
"Radiohead",10.1455555555556
"Sting",10.1309523809524
"Travis Tritt",10.1309523809524
"Sugar Ray",10.1251114081996
"LeAnn Rimes",10.1176470588235
"Blink-182",10.0526315789474
"Brooks/Dunn",10.0526315789474
"Dave Hollister",10.0238095238095
"Lil' Romeo",9.58333333333333
"Michael Jackson",9.45
"Brian McKnight",9.36111111111111
"Slipknot",9.35
"Lonestar",9.35
"Aaron Carter",9.35
"Dr. Dre",9.18977591036414
"Puddle Of Mudd",9.1516265597148
"Keith Sweat",9.1037037037037
"Fabolous",9.09090909090909
"Various Artists",9.07692307692308
"Saliva",8.78421052631579
"Stevie Nicks",8.57142857142857
"Various Artists",8.57142857142857
"Jessica Andrews",8.55357142857143
"Craig David",8.55357142857143
"QB Finest",8.53968253968254
"Afroman",8.52857142857143
"Jagged Edge",8.52857142857143
"Tyrese",8.12949039264829
"Jessica Simpson",8.11911881977671
"Master P",8.11868686868687
"Blu Cantrell",8.10876623376623
"Tamia",8.10460992907801
"Mya",8.10210442723844
"Case",8.09774436090225
"Various Artists",8.09523809523809
"Incubus",8.08651162790698
"Eric Clapton",8.08101851851852
"B.G.",8.07142857142857
"Enrique Iglesias",7.86666666666667
"Foxy Brown",7.79166666666667
"Beanie Sigel",7.79166666666667
"S Club 7",7.77777777777778
"Limp Bizkit",7.77777777777778
"Barenaked Ladies",7.76666666666667
"Diana Krall",7.16666666666667
"Dream Street",7.16666666666667
"Green Day",7.14285714285714
"Celine Dion",7.14285714285714
"Tantric",7.13809523809524
"Bob Dylan",7.13090909090909
