Year,CH,10,#,High,Artist
1952,18,16,9,1,Al Martino
1952,10,10,1,2,Guy Mitchell
1952,24,22,3,3,Mario Lanza
1952,12,11,3,3,Bing Crosby
1952,9,9,3,3,Rosemary Clooney
1952,7,6,1,3,Nat 'King' Cole
1952,6,6,1,5,Vera Lynn
1952,4,3,2,6,Nat 'King' Cole
1952,3,3,2,6,Mantovani & His Orchestra
1952,7,3,2,7,Frankie Laine
1952,3,3,2,7,Johnnie Ray
1952,8,7,3,8,Doris Day & Frankie Laine
1952,2,2,2,8,Bing Crosby
1952,4,2,1,8,Ray Martin & His Concert Orchestra
1952,3,2,2,9,Vera Lynn
1952,1,1,1,9,Al Martino
1952,2,2,2,10,Doris Day
1952,2,1,1,10,Bing Crosby & Jane Wyman
1952,1,1,1,10,Vera Lynn
1952,2,-,2,11,Jo Stafford
1952,1,-,1,12,Johnnie Ray
1953,36,35,18,1,Frankie Laine
1953,17,17,8,1,Frankie Laine
1953,14,14,6,1,Guy Mitchell
1953,15,15,5,1,Perry Como
1953,16,14,4,1,Guy Mitchell
1953,14,12,2,1,David Whitfield
1953,8,8,2,1,Frankie Laine
1953,23,22,1,1,Mantovani & His Orchestra
1953,18,17,1,1,Eddie Fisher
1953,19,16,1,1,Jo Stafford
1953,17,15,1,1,Eddie Fisher
1953,16,14,1,1,Kay Starr
1953,11,11,1,1,Lita Roza
1953,12,9,1,1,The Stargazers
1953,24,23,8,2,Frank Chacksfield & His Orchestra
1953,18,18,5,2,Nat 'King' Cole
1953,18,17,2,2,Mantovani & His Orchestra
1953,12,10,1,2,Frankie Laine
1953,11,9,1,2,Guy Mitchell
1953,10,9,1,2,Diana Decker
1953,17,15,4,3,Muriel Smith
1953,23,18,2,3,Ron Goodwin & His Orchestra
1953,15,14,2,3,Eddie Fisher
1953,12,12,2,3,Al Martino
1953,10,7,1,3,Billy Cotton & His Band
1953,6,6,1,3,Jimmy Boyd
1953,14,13,7,4,Johnnie Ray & Doris Day
1953,4,4,3,4,Ray Martin & His Concert Orchestra
1953,8,8,2,4,The Johnston Brothers
1953,16,12,2,5,Jimmy Boyd & Frankie Laine
1953,10,10,1,5,Danny Kaye
1953,8,7,1,5,Dean Martin
1953,6,3,1,5,Winifred Atwell
1953,6,2,1,5,Winifred Atwell
1953,11,8,2,6,Ted Heath & His Music
1953,8,5,2,6,Nat 'King' Cole
1953,7,5,2,6,Art & Dotty Todd
1953,7,5,2,6,Johnnie Ray
1953,10,10,1,6,Louis Armstrong
1953,8,6,1,6,Max Bygraves
1953,7,5,1,6,June Hutton & Axel Stordahl
1953,5,4,1,6,The Beverley Sisters
1953,6,3,1,6,Gisele MacKenzie
1953,7,5,1,7,Nat 'King' Cole
1953,6,5,1,7,Lee Lawrence
1953,7,4,1,7,Tony Brent
1953,4,3,1,7,Kay Starr
1953,4,3,1,7,Les Paul & Mary Ford
1953,2,1,1,7,Ray Anthony & His Orchestra
1953,1,1,1,7,Dickie Valentine
1953,9,3,1,8,Jimmy Young
1953,5,3,1,8,Eddie Fisher
1953,5,3,1,8,Joan Regan
1953,9,2,1,8,Eddie Fisher
1953,7,4,3,9,Tony Brent
1953,5,2,2,9,Patti Page
1953,3,2,1,9,Dickie Valentine
1953,5,1,1,9,Ted Heath & His Music
1953,1,1,1,9,David Whitfield
1953,5,2,2,10,Al Martino
1953,4,1,1,10,Nat 'King' Cole
1953,3,1,1,10,Frank Chacksfield's Tunesmiths
1953,3,1,1,10,Winifred Atwell
1953,1,1,1,10,The Mills Brothers
1953,3,-,3,11,Billy Cotton & His Band
1953,1,-,1,11,Doris Day & Johnnie Ray
1953,1,-,1,11,Jimmy Young
1953,1,-,1,11,Frankie Laine
1953,1,-,1,11,Ted Heath & His Music
1953,1,-,1,11,Joni James
1953,1,-,1,11,Vera Lynn
1953,1,-,1,12,Dickie Valentine
1953,1,-,1,12,Vivian Blaine
1953,1,-,1,12,Tony Brent
1953,1,-,1,12,Dorothy Squires
1953,1,-,1,12,Doris Day & Johnnie Ray
1953,1,-,1,12,Buddy Morrow & His Orchestra
1954,25,20,10,1,David Whitfield
1954,29,27,9,1,Doris Day
1954,21,20,9,1,Eddie Calvert
1954,15,13,6,1,The Stargazers
1954,21,16,5,1,Don Cornell
1954,8,7,5,1,Winifred Atwell
1954,19,15,3,1,Frank Sinatra
1954,14,12,2,1,Vera Lynn & Frank Weir & His Saxophone
1954,23,20,1,1,Kitty Kallen
1954,18,17,1,1,Johnnie Ray
1954,18,13,1,1,Rosemary Clooney
1954,12,11,6,2,Frankie Laine
1954,26,24,5,2,The Obernkirchen Children's Choir
1954,10,7,5,2,David Whitfield
1954,14,12,3,2,Nat 'King' Cole
1954,16,12,1,2,Guy Mitchell
1954,15,9,1,2,Winifred Atwell
1954,11,9,1,2,Dean Martin
1954,12,9,5,3,Billy Cotton & His Band
1954,14,9,3,3,Ronnie Hilton
1954,11,9,3,3,David Whitfield
1954,15,14,2,3,Frankie Laine
1954,10,9,2,3,Frankie Laine
1954,15,15,1,3,Norman Wisdom
1954,15,14,1,3,Perry Como
1954,11,7,1,3,Joan Regan
1954,10,9,4,4,Bonnie Lou
1954,14,14,3,4,Kay Starr
1954,16,13,3,4,Al Martino
1954,15,11,2,4,Perry Como
1954,15,13,1,4,Guy Mitchell
1954,16,8,1,4,Billie Anthony
1954,11,8,1,4,Doris Day
1954,9,8,1,4,Alma Cogan
1954,15,9,2,5,David Whitfield
1954,8,7,2,5,Joan Regan
1954,11,8,1,5,The Four Knights
1954,6,5,1,5,Four Aces
1954,4,3,3,6,The Big Ben Banjo Band
1954,7,3,1,6,Dean Martin
1954,8,7,2,7,Doris Day
1954,10,6,2,7,Petula Clark
1954,8,6,2,7,Max Bygraves
1954,5,3,2,7,Rosemary Clooney
1954,8,2,2,7,Max Bygraves
1954,3,2,2,7,Jose Ferrer
1954,4,3,1,7,Duke Ellington & His Orchestra
1954,5,2,1,7,Ruby Wright
1954,16,10,3,8,Frankie Laine
1954,5,4,2,8,Guy Mitchell
1954,1,1,1,8,Jo Stafford
1954,9,4,2,9,Winifred Atwell
1954,4,2,1,9,Eddie Fisher
1954,3,2,1,9,Bing Crosby
1954,2,2,1,9,Frankie Laine
1954,9,1,1,9,Frankie Laine
1954,3,1,1,9,Ted Heath & His Music
1954,3,1,1,9,Guy Mitchell
1954,2,1,1,9,Frank Chacksfield & His Orchestra
1954,8,3,3,10,Al Martino
1954,2,1,1,10,Ken Mackintosh & His Orchestra
1954,1,1,1,10,Nat 'King' Cole
1954,5,-,2,11,Alma Cogan
1954,6,-,1,11,Anthony Steel & The Radio Revellers
1954,2,-,1,11,Nat 'King' Cole
1954,1,-,1,11,Frankie Vaughan
1954,1,-,1,11,Guy Mitchell
1954,9,-,2,12,The Crew-Cuts
1954,3,-,2,12,Ronnie Harris
1954,1,-,1,12,Glenn Miller & His Orchestra
1954,1,-,1,12,The Stargazers
1954,1,-,1,12,Frank Sinatra
1954,10,-,1,13,Eddie Fisher
1954,6,-,1,15,Dean Martin
1954,2,-,1,15,Stan Freberg
1954,1,-,1,16,Perry Como
1954,4,-,1,17,Kay Starr
1954,1,-,1,17,Norman Brooks
1954,1,-,1,18,Joan Regan & The Johnston Brothers
1954,1,-,1,19,Dickie Valentine
1954,11,x,x,4,Frank Weir & His Saxophone
1954,9,x,x,4,Tony Brent
1954,1,x,x,5,Tony Brent
1954,12,x,x,6,Eddie Calvert
1954,10,x,x,6,Winifred Atwell
1954,1,x,x,7,Joan Regan
1954,2,x,x,8,Max Bygraves
1954,2,x,x,8,Mantovani & His Orchestra
1954,4,x,x,9,Lita Roza
1954,4,x,x,9,Max Bygraves
1954,3,x,x,9,Vera Lynn
1954,2,x,x,9,Jackie Brown & His Orchestra
1954,1,x,x,9,Diana Decker
1954,1,x,x,9,Tony Brent & Billie Anthony
1954,4,x,x,10,Tony Brent
1954,3,x,x,10,Frank Weir & His Saxophone
1954,3,x,x,10,Alma Cogan
1954,1,x,x,10,Ted Heath & His Music
1954,1,x,x,10,Lita Roza
1954,1,x,x,10,Mantovani & His Orchestra
1954,4,x,x,11,David Whitfield
1954,3,x,x,11,The Beverley Sisters
1954,3,x,x,12,Jimmy Young
1954,2,x,x,12,Anne Shelton
1954,2,x,x,12,Frank Weir & His Saxaphone
1954,2,x,x,12,The Johnston Brothers
1954,1,x,x,12,Vera Lynn
1954,1,x,x,12,Eve Boswell
1954,1,x,x,12,Cyril Stapleton & His Orchestra
1954,1,x,x,12,Jimmy Young
1954,1,x,x,12,Eddie Calvert
1954,1,x,x,12,Max Miller
1954,1,x,x,12,The Squadronaires
1955,19,17,11,1,Slim Whitman
1955,24,18,7,1,Tennessee Ernie Ford
1955,19,15,5,1,Bill Haley & His Comets
1955,21,17,4,1,Eddie Calvert
1955,12,11,4,1,Jimmy Young
1955,23,17,3,1,Ruby Murray
1955,15,14,3,1,Dickie Valentine
1955,18,13,3,1,Jimmy Young
1955,16,11,3,1,Rosemary Clooney
1955,7,6,3,1,Dickie Valentine
